id,nombre_apellido,edad,localidad,lista_numeros,conexiones
46,Bautista Gallardo,22,Bosa,"[3, 8, 1, 6, 9]","[130, 185, 170, 181]"
47,Isidora Salas,52,Kennedy,"[9, 4, 7, 2, 5]","[170, 128, 97, 152]"
48,Francisco Duran,29,Fontibon,"[5, 0, 3, 8, 1]","[149, 156, 196]"
49,Antonella Acosta,46,Engativa,"[2, 7, 0, 5, 8]","[154, 198, 130]"
50,Ignacio Suarez,42,Suba,"[8, 3, 6, 1, 4]","[153, 174, 137, 199]"
51,Abril Osorio,28,Barrios Unidos,"[4, 9, 2, 7, 0]","[173, 178, 195]"
52,Tomas Beltran,55,Teusaquillo,"[1, 6, 9, 4, 7]","[149, 133, 193, 172]"
53,Josefa Figueroa,48,Los Martires,"[7, 2, 5, 0, 3]","[148, 171, 146]"
54,Jeronimo Pineda,34,Antonio Narino,"[3, 8, 1, 6, 9]","[170, 134, 186]"
55,Amelia Gutierrez,63,Puente Aranda,"[0, 5, 8, 3, 1]","[146, 169]"
56,Simon Rubio,19,La Candelaria,"[6, 1, 4, 9, 2]","[158, 197]"
57,Amanda Prieto,50,Rafael Uribe Uribe,"[2, 7, 0, 5, 8]","[144, 184, 199]"
58,Lorenzo Mendez,31,Ciudad Bolivar,"[9, 4, 7, 2, 5]","[177, 198, 182]"
59,Agustin Castillo,45,Sumapaz,"[5, 0, 3, 8, 1]","[159]"
60,Emilia Navarro,36,Usaquen,"[1, 6, 9, 4, 7]","[194, 172]"
61,Gaspar Miranda,59,Chapinero,"[8, 3, 6, 1, 4]","[196, 199]"
62,Isabel Campos,24,Santa Fe,"[4, 9, 2, 7, 0]","[173, 197, 181]"
63,Facundo Ortega,67,San Cristobal,"[0, 5, 8, 3, 1]","[181, 198, 195]"
64,Trinidad Leon,30,Usme,"[7, 2, 5, 0, 3]","[180, 199, 175]"
65,Felipe Cabrera,43,Tunjuelito,"[3, 8, 1, 6, 9]","[183, 198]"
66,Regina Mora,73,Bosa,"[9, 4, 7, 2, 5]","[176, 199]"
67,Dante Ibarra,21,Kennedy,"[5, 0, 3, 8, 1]","[185, 199]"
68,Olivia Marin,62,Fontibon,"[2, 7, 0, 5, 8]","[199, 184]"
69,Camilo Vega,39,Engativa,"[8, 3, 6, 1, 4]","[199, 188]"
70,Zoe Rivas,56,Suba,"[4, 9, 2, 7, 0]","[199, 195]"
71,Manuel Ponce,27,Barrios Unidos,"[1, 6, 9, 4, 7]","[199]"
72,Mia Gallardo,48,Teusaquillo,"[7, 2, 5, 0, 3]","[199, 189]"
73,Benicio Salas,32,Los Martires,"[3, 8, 1, 6, 9]","[199]"
74,Juana Duran,53,Antonio Narino,"[0, 5, 8, 3, 1]","[199, 189]"
75,Gael Acosta,23,Puente Aranda,"[6, 1, 4, 9, 2]","[]"
76,Santino Suarez,70,La Candelaria,"[2, 7, 0, 5, 8]","[199]"
77,Bruno Osorio,18,Rafael Uribe Uribe,"[9, 4, 7, 2, 5]","[199]"
78,Delfina Beltran,61,Ciudad Bolivar,"[5, 0, 3, 8, 1]","[199]"
79,Mateo Figueroa,40,Sumapaz,"[1, 6, 9, 4, 7]","[199]"
80,Leonel Pineda,37,Usaquen,"[8, 3, 6, 1, 4]","[199]"
81,Lucas Gutierrez,25,Chapinero,"[4, 9, 2, 7, 0]","[199]"
82,Sara Rubio,58,Santa Fe,"[0, 5, 8, 3, 1]","[199]"
83,Emilio Prieto,50,San Cristobal,"[7, 2, 5, 0, 3]","[]"
84,Isabella Mendez,33,Usme,"[3, 8, 1, 6, 9]","[199]"
85,Juan Castillo,65,Tunjuelito,"[9, 4, 7, 2, 5]","[199]"
86,Sofia Navarro,22,Bosa,"[5, 0, 3, 8, 1]","[199]"
87,Valentina Miranda,52,Kennedy,"[2, 7, 0, 5, 8]","[]"
88,Santiago Campos,29,Fontibon,"[8, 3, 6, 1, 4]","[]"
89,Camila Ortega,46,Engativa,"[4, 9, 2, 7, 0]","[199]"
90,Daniel Leon,42,Suba,"[1, 6, 9, 4, 7]","[199]"
91,Mariana Cabrera,28,Barrios Unidos,"[7, 2, 5, 0, 3]","[]"
92,Sebastian Mora,55,Teusaquillo,"[3, 8, 1, 6, 9]","[199]"
93,Valeria Ibarra,48,Los Martires,"[0, 5, 8, 3, 1]","[]"
94,Matias Marin,34,Antonio Narino,"[6, 1, 4, 9, 2]","[199]"
95,Gabriela Vega,63,Puente Aranda,"[2, 7, 0, 5, 8]","[199]"
96,Felipe Rivas,19,La Candelaria,"[9, 4, 7, 2, 5]","[199]"
97,Emma Ponce,50,Rafael Uribe Uribe,"[5, 0, 3, 8, 1]","[199]"
98,Alejandro Gallardo,31,Ciudad Bolivar,"[1, 6, 9, 4, 7]","[]"
99,Luciana Salas,45,Sumapaz,"[8, 3, 6, 1, 4]","[]"
100,Emiliano Duran,36,Usaquen,"[4, 9, 2, 7, 0]","[189, 173]"
101,Julieta Acosta,59,Chapinero,"[0, 5, 8, 3, 1]","[197]"
102,Samuel Suarez,24,Santa Fe,"[7, 2, 5, 0, 3]","[193, 189]"
103,Martina Osorio,67,San Cristobal,"[3, 8, 1, 6, 9]","[189]"
104,Nicolas Beltran,30,Usme,"[9, 4, 7, 2, 5]","[189]"
105,Mia Figueroa,43,Tunjuelito,"[5, 0, 3, 8, 1]","[189]"
106,Benjamin Pineda,73,Bosa,"[2, 7, 0, 5, 8]","[189]"
107,Samantha Gutierrez,21,Kennedy,"[8, 3, 6, 1, 4]","[189, 196]"
108,Leonardo Rubio,62,Fontibon,"[4, 9, 2, 7, 0]","[189]"
109,Victoria Prieto,39,Engativa,"[1, 6, 9, 4, 7]","[189]"
110,Joaquin Mendez,56,Suba,"[7, 2, 5, 0, 3]","[189]"
111,Elena Castillo,27,Barrios Unidos,"[3, 8, 1, 6, 9]","[189, 196]"
112,Diego Navarro,48,Teusaquillo,"[0, 5, 8, 3, 1]","[]"
113,Catalina Miranda,32,Los Martires,"[6, 1, 4, 9, 2]","[189, 196]"
114,Thiago Campos,53,Antonio Narino,"[2, 7, 0, 5, 8]","[189]"
115,Renata Ortega,23,Puente Aranda,"[9, 4, 7, 2, 5]","[189]"
116,Adrian Leon,70,La Candelaria,"[5, 0, 3, 8, 1]","[189]"
117,Julian Cabrera,18,Rafael Uribe Uribe,"[1, 6, 9, 4, 7]","[189]"
118,Paula Mora,61,Ciudad Bolivar,"[8, 3, 6, 1, 4]","[]"
119,Maximiliano Ibarra,40,Sumapaz,"[4, 9, 2, 7, 0]","[189]"
120,Laura Marin,37,Usaquen,"[0, 5, 8, 3, 1]","[189]"
121,Juan Jose Vega,25,Chapinero,"[7, 2, 5, 0, 3]","[189]"
122,Agustina Rivas,58,Santa Fe,"[3, 8, 1, 6, 9]","[189]"
123,Bautista Ponce,50,San Cristobal,"[9, 4, 7, 2, 5]","[189]"
124,Isidora Gallardo,33,Usme,"[5, 0, 3, 8, 1]","[189]"
125,Francisco Salas,65,Tunjuelito,"[2, 7, 0, 5, 8]","[189]"
126,Antonella Duran,22,Bosa,"[8, 3, 6, 1, 4]","[189]"
127,Ignacio Acosta,52,Kennedy,"[4, 9, 2, 7, 0]","[189]"
128,Abril Suarez,29,Fontibon,"[1, 6, 9, 4, 7]","[]"
129,Tomas Osorio,46,Engativa,"[7, 2, 5, 0, 3]","[]"
130,Josefa Beltran,42,Suba,"[3, 8, 1, 6, 9]","[]"
131,Jeronimo Figueroa,28,Barrios Unidos,"[0, 5, 8, 3, 1]","[196]"
132,Amelia Pineda,55,Teusaquillo,"[6, 1, 4, 9, 2]","[]"
133,Simon Gutierrez,48,Los Martires,"[2, 7, 0, 5, 8]","[196]"
134,Amanda Rubio,34,Antonio Narino,"[9, 4, 7, 2, 5]","[196]"
135,Lorenzo Prieto,63,Puente Aranda,"[5, 0, 3, 8, 1]","[196]"
136,Agustin Mendez,19,La Candelaria,"[1, 6, 9, 4, 7]","[]"
137,Emilia Castillo,50,Rafael Uribe Uribe,"[8, 3, 6, 1, 4]","[]"
138,Gaspar Navarro,31,Ciudad Bolivar,"[4, 9, 2, 7, 0]","[196]"
139,Isabel Miranda,45,Sumapaz,"[0, 5, 8, 3, 1]","[196]"
140,Facundo Campos,36,Usaquen,"[7, 2, 5, 0, 3]","[]"
141,Trinidad Ortega,59,Chapinero,"[3, 8, 1, 6, 9]","[196]"
142,Felipe Leon,24,Santa Fe,"[9, 4, 7, 2, 5]","[196]"
143,Regina Cabrera,67,San Cristobal,"[5, 0, 3, 8, 1]","[]"
144,Dante Mora,30,Usme,"[2, 7, 0, 5, 8]","[196]"
145,Olivia Ibarra,43,Tunjuelito,"[8, 3, 6, 1, 4]","[]"
146,Camilo Marin,73,Bosa,"[4, 9, 2, 7, 0]","[]"
147,Zoe Vega,21,Kennedy,"[1, 6, 9, 4, 7]","[196]"
148,Manuel Rivas,62,Fontibon,"[7, 2, 5, 0, 3]","[]"
149,Mia Ponce,39,Engativa,"[3, 8, 1, 6, 9]","[]"
150,Benicio Gallardo,56,Suba,"[0, 5, 8, 3, 1]","[]"
151,Juana Salas,27,Barrios Unidos,"[6, 1, 4, 9, 2]","[196]"
152,Gael Duran,48,Teusaquillo,"[2, 7, 0, 5, 8]","[]"
153,Santino Acosta,32,Los Martires,"[9, 4, 7, 2, 5]","[196]"
154,Bruno Suarez,53,Antonio Narino,"[5, 0, 3, 8, 1]","[]"
155,Delfina Osorio,23,Puente Aranda,"[1, 6, 9, 4, 7]","[196]"
156,Mateo Beltran,70,La Candelaria,"[8, 3, 6, 1, 4]","[]"
157,Leonel Figueroa,18,Rafael Uribe Uribe,"[4, 9, 2, 7, 0]","[]"
158,Lucas Pineda,61,Ciudad Bolivar,"[0, 5, 8, 3, 1]","[196]"
159,Sara Gutierrez,40,Sumapaz,"[7, 2, 5, 0, 3]","[]"
160,Emilio Rubio,37,Usaquen,"[3, 8, 1, 6, 9]","[196]"
161,Isabella Prieto,25,Chapinero,"[9, 4, 7, 2, 5]","[]"
162,Juan Mendez,58,Santa Fe,"[5, 0, 3, 8, 1]","[]"
163,Sofia Castillo,50,San Cristobal,"[2, 7, 0, 5, 8]","[]"
164,Valentina Navarro,33,Usme,"[8, 3, 6, 1, 4]","[]"
165,Santiago Miranda,65,Tunjuelito,"[4, 9, 2, 7, 0]","[]"
166,Camila Campos,22,Bosa,"[1, 6, 9, 4, 7]","[]"
167,Daniel Ortega,52,Kennedy,"[7, 2, 5, 0, 3]","[]"
168,Mariana Leon,29,Fontibon,"[3, 8, 1, 6, 9]","[]"
169,Sebastian Cabrera,46,Engativa,"[0, 5, 8, 3, 1]","[]"
170,Valeria Mora,42,Suba,"[6, 1, 4, 9, 2]","[]"
171,Matias Ibarra,28,Barrios Unidos,"[2, 7, 0, 5, 8]","[]"
172,Gabriela Marin,55,Teusaquillo,"[9, 4, 7, 2, 5]","[]"
173,Felipe Vega,48,Los Martires,"[5, 0, 3, 8, 1]","[]"
174,Emma Rivas,34,Antonio Narino,"[1, 6, 9, 4, 7]","[]"
175,Alejandro Ponce,63,Puente Aranda,"[8, 3, 6, 1, 4]","[]"
176,Luciana Gallardo,19,La Candelaria,"[4, 9, 2, 7, 0]","[]"
177,Emiliano Salas,50,Rafael Uribe Uribe,"[0, 5, 8, 3, 1]","[]"
178,Julieta Duran,31,Ciudad Bolivar,"[7, 2, 5, 0, 3]","[]"
179,Samuel Acosta,45,Sumapaz,"[3, 8, 1, 6, 9]","[]"
180,Martina Suarez,36,Usaquen,"[9, 4, 7, 2, 5]","[]"
181,Nicolas Osorio,59,Chapinero,"[5, 0, 3, 8, 1]","[]"
182,Mia Beltran,24,Santa Fe,"[2, 7, 0, 5, 8]","[]"
183,Benjamin Figueroa,67,San Cristobal,"[8, 3, 6, 1, 4]","[]"
184,Samantha Pineda,30,Usme,"[4, 9, 2, 7, 0]","[]"
185,Leonardo Gutierrez,43,Tunjuelito,"[1, 6, 9, 4, 7]","[]"
186,Victoria Rubio,73,Bosa,"[7, 2, 5, 0, 3]","[]"
187,Joaquin Prieto,21,Kennedy,"[3, 8, 1, 6, 9]","[]"
188,Elena Mendez,62,Fontibon,"[0, 5, 8, 3, 1]","[]"
189,Diego Castillo,39,Engativa,"[6, 1, 4, 9, 2]","[]"
190,Catalina Navarro,56,Suba,"[2, 7, 0, 5, 8]","[]"
191,Thiago Miranda,27,Barrios Unidos,"[9, 4, 7, 2, 5]","[]"
192,Renata Campos,48,Teusaquillo,"[5, 0, 3, 8, 1]","[]"
193,Adrian Ortega,32,Los Martires,"[1, 6, 9, 4, 7]","[]"
194,Julian Leon,53,Antonio Narino,"[8, 3, 6, 1, 4]","[]"
195,Paula Cabrera,23,Puente Aranda,"[4, 9, 2, 7, 0]","[]"
196,Maximiliano Mora,70,La Candelaria,"[0, 5, 8, 3, 1]","[]"
197,Laura Ibarra,18,Rafael Uribe Uribe,"[7, 2, 5, 0, 3]","[]"
198,Juan Jose Marin,61,Ciudad Bolivar,"[3, 8, 1, 6, 9]","[]"
199,Agustina Vega,40,Sumapaz,"[9, 4, 7, 2, 5]","[]"
200,David Sanchez,20,Fontibon,"[4, 5, 8, 2, 0]","[201]"
201,Andres Duque,21,Chapinero,"[3, 1, 4, 8, 0]","[202]"
202,James Rodriguez,38,Teusaquillo,"[1, 7, 9, 0, 3]","[]"
